customer_id,first_name,last_name,sum,,For 1A
1,Mary,Smith,114.7,,
2,Patricia,Johnson,123.74,,"SELECT customer.customer_id, first_name, last_name, SUM(amount)"
3,Linda,Williams,130.76,,FROM customer JOIN payment 
4,Barbara,Jones,81.78,,ON customer.customer_id = payment.customer_id
5,Elizabeth,Brown,134.65,,GROUP BY customer.customer_id
6,Jennifer,Davis,84.75,,ORDER BY customer.customer_id ASC
7,Maria,Miller,130.72,,
8,Susan,Wilson,85.77,,For 1B
9,Margaret,Moore,78.8,,
10,Dorothy,Taylor,94.76,,"SELECT customer_id, AVG(amount) FROM payment"
11,Lisa,Anderson,99.77,,GROUP BY customer_id
12,Nancy,Thomas,93.74,,HAVING AVG(amount) < '3'
13,Karen,Jackson,131.73,,
14,Betty,White,96.77,,
15,Helen,Harris,134.68,,For 2A
16,Sandra,Martin,109.75,,
17,Donna,Thompson,87.82,,"SELECT first_name, last_name, address.district FROM customer"
18,Carol,Garcia,78.81,,JOIN address
19,Ruth,Martinez,98.82,,ON customer.address_id = address.address_id
20,Sharon,Robinson,103.73,,
21,Michelle,Clark,146.68,,Explanation:
22,Laura,Rodriguez,94.81,,We need to put the address (table) beside the district so the SQL will determine that it came from a different table.
23,Sarah,Lewis,106.73,,"Also, we need to put the respective table beside the address_id after the ON function."
24,Kimberly,Lee,85.77,,
25,Deborah,Walker,104.73,,"SELECT customer_id, SUM(amount) FROM payment"
26,Jessica,Hall,146.68,,"GROUP BY amount, customer_id"
27,Shirley,Allen,123.7,,HAVING amount > 100
28,Cynthia,Young,105.7,,
29,Angela,Hernandez,138.65,,Explanation:
30,Melissa,King,123.66,,"Since the amount is in one of columns shown, it needs to be grouped by as well."
31,Brenda,Wright,104.74,,
32,Amy,Lopez,112.74,,
33,Anna,Hill,88.8,,For 3A
34,Rebecca,Scott,89.76,,
35,Virginia,Green,118.7,,"SELECT customer_id, SUM(amount) FROM payment"
36,Kathleen,Adams,90.75,,GROUP BY customer_id
37,Pamela,Baker,91.79,,HAVING SUM (amount) >= 200
38,Martha,Gonzalez,127.66,,
39,Debra,Nelson,141.71,,
40,Amanda,Carter,105.74,,
41,Stephanie,Mitchell,118.75,,
42,Carolyn,Perez,111.71,,
43,Christine,Roberts,89.78,,
44,Marie,Turner,101.79,,
45,Janet,Phillips,124.74,,
46,Catherine,Campbell,131.69,,
47,Frances,Parker,92.81,,
48,Ann,Evans,67.86,,
49,Joyce,Edwards,116.76,,
50,Diane,Collins,144.7,,
51,Alice,Stewart,123.7,,
52,Julie,Sanchez,106.72,,
53,Heather,Morris,88.76,,
54,Teresa,Rogers,114.74,,
55,Doris,Reed,84.81,,
56,Gloria,Cook,115.74,,
57,Evelyn,Morgan,99.74,,
58,Jean,Bell,105.76,,
59,Cheryl,Murphy,119.76,,
60,Mildred,Bailey,88.78,,
61,Katherine,Rivera,57.87,,
62,Joan,Cooper,78.79,,
63,Ashley,Richardson,112.75,,
64,Judith,Cox,91.7,,
65,Rose,Howard,97.8,,
66,Janice,Ward,139.67,,
67,Kelly,Torres,86.8,,
68,Nicole,Peterson,94.78,,
69,Judy,Gray,89.77,,
70,Christina,Ramirez,75.83,,
71,Kathy,James,116.72,,
72,Theresa,Watson,88.73,,
73,Beverly,Brooks,89.78,,
74,Denise,Kelly,96.74,,
